name,vintage,varietal,location,price,score,prediction,difference,bordeauxBlends,syrah,pinot,italy,france,australia
Chateau Monbousquet,1997,Bordeaux Red Blends,St. Emilion, Bordeaux, France,59.99,92,92.18266,-0.18266,1,0,0,0,1,0
Chateau Lafite Rothschild,1997,Bordeaux Red Blends,Pauillac, Bordeaux, France,849.97,92,98.93434,-6.93434,1,0,0,0,1,0
Les Forts de Latour,1996,Bordeaux Red Blends,Pauillac, Bordeaux, France,64.99,90,92.22540,-2.22540,1,0,0,0,1,0
Chateau Haut-Batailley,1996,Bordeaux Red Blends,Pauillac, Bordeaux, France,139.97,91,92.86623,-1.86623,1,0,0,0,1,0
Chateau Pichon Longueville Comtesse de Lalande,1996,Bordeaux Red Blends,Pauillac, Bordeaux, France,239.00,96,93.71260,2.28740,1,0,0,0,1,0
Chateau Pichon Longueville Comtesse de Lalande,1986,Bordeaux Red Blends,Pauillac, Bordeaux, France,217.49,94,93.52876,0.47124,1,0,0,0,1,0
Chateau Clerc Milon,1997,Bordeaux Red Blends,Pauillac, Bordeaux, France,46.99,89,92.07156,-3.07156,1,0,0,0,1,0
Chateau Grand Mayne,1996,Bordeaux Red Blends,St. Emilion, Bordeaux, France,34.99,89,91.96899,-2.96899,1,0,0,0,1,0
Chateau Cos d'Estournel,1995,Bordeaux Red Blends,St. Estephe, Bordeaux, France,269.97,95,93.97728,1.02272,1,0,0,0,1,0
Chateau Pichon Longueville Comtesse de Lalande,1995,Bordeaux Red Blends,Pauillac, Bordeaux, France,175.00,96,93.16561,2.83439,1,0,0,0,1,0
Chateau Angelus,1996,Bordeaux Red Blends,St. Emilion, Bordeaux, France,379.97,91,94.91742,-3.91742,1,0,0,0,1,0
Chateau Monbousquet,1997,Bordeaux Red Blends,St. Emilion, Bordeaux, France,62.97,92,92.20813,-0.20813,1,0,0,0,1,0
Chateau La Mission Haut-Brion,1996,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,145.99,90,92.91767,-2.91767,1,0,0,0,1,0
Chateau Montrose,1996,Bordeaux Red Blends,St. Estephe, Bordeaux, France,199.97,96,93.37902,2.62098,1,0,0,0,1,0
