name,vintage,varietal,location,price,score,prediction,difference,bordeauxBlends,syrah,pinot,italy,france,australia
Chateau Mouton Rothschild,1998,Bordeaux Red Blends,Pauillac, Bordeaux, France,549.97,96,95.51579,0.48421,1,0,0,0,1,0
Clarendon Hills Astralis Syrah,1998,Syrah/Shiraz,McLaren Vale, Australia,214.97,98,93.72150,4.27850,0,1,0,0,0,1
Clarendon Hills Astralis Syrah,1999,Syrah/Shiraz,McLaren Vale, Australia,169.00,93,93.45450,-0.45450,0,1,0,0,0,1
Clarendon Hills Brookman Syrah,1999,Syrah/Shiraz,McLaren Vale, Australia,83.99,90,92.92948,-2.92948,0,1,0,0,0,1
d'Arenberg The Dead Arm Shiraz,1998,Syrah/Shiraz,McLaren Vale, Australia,79.00,96,92.88175,3.11825,0,1,0,0,0,1
Chateau Lafite Rothschild (torn labels),1998,Bordeaux Red Blends,Pauillac, Bordeaux, France,899.97,98,97.67737,0.32263,1,0,0,0,1,0
Chateau Pichon-Longueville Baron,1998,Bordeaux Red Blends,Pauillac, Bordeaux, France,145.00,90,93.01472,-3.01472,1,0,0,0,1,0
Chateau Lagrange,1998,Bordeaux Red Blends,St. Julien, Bordeaux, France,39.99,88,92.36618,-4.36618,1,0,0,0,1,0
Longwood Shiraz,1999,Syrah/Shiraz,Australia,24.49,88,92.56201,-4.56201,0,1,0,0,0,1
Clos Fourtet,1998,Bordeaux Red Blends,St. Emilion, Bordeaux, France,119.97,90,92.86014,-2.86014,1,0,0,0,1,0
Guigal La Landonne Cote Rotie,1997,Syrah/Shiraz,Cote Rotie, Rhone, France,395.00,98,95.37048,2.62952,0,1,0,0,1,0
Guigal La Turque Cote Rotie,1997,Syrah/Shiraz,Cote Rotie, Rhone, France,379.00,96,95.27167,0.72833,0,1,0,0,1,0
Buckeley's Shiraz,2000,Syrah/Shiraz,Australia,9.99,86,92.48938,-6.48938,0,1,0,0,0,1
Jaboulet Hermitage La Chapelle,1997,Syrah/Shiraz,Hermitage, Rhone, France,229.97,93,94.35127,-1.35127,0,1,0,0,1,0
M. Chapoutier Ermitage Le Pavillon,1997,Syrah/Shiraz,Hermitage, Rhone, France,225.00,98,94.32058,3.67942,0,1,0,0,1,0
Yarra Yering Underhill Shiraz,1998,Syrah/Shiraz,Yarra Valley, Australia,41.49,91,92.65009,-1.65009,0,1,0,0,0,1
Chateau Latour,1990,Bordeaux Red Blends,Pauillac, Bordeaux, France,540.99,95,95.32503,-0.32503,1,0,0,0,1,0
Chateau Latour,1996,Bordeaux Red Blends,Pauillac, Bordeaux, France,816.97,100,97.13094,2.86906,1,0,0,0,1,0
Chateau Leoville Barton,1996,Bordeaux Red Blends,St. Julien, Bordeaux, France,94.49,94,92.66895,1.33105,1,0,0,0,1,0
d'Arenberg The Footbolt Shiraz,1998,Syrah/Shiraz,McLaren Vale, Australia,11.99,90,92.46790,-2.46790,0,1,0,0,0,1
Chateau Troplong Mondot,2001,Bordeaux Red Blends,St. Emilion, Bordeaux, France,59.99,93,92.54044,0.45956,1,0,0,0,1,0
Chateau Trotanoy,1995,Bordeaux Red Blends,Pomerol, Bordeaux, France,263.99,93,93.69885,-0.69885,1,0,0,0,1,0
Chateau Lynch-Bages (bin soiled labels),1996,Bordeaux Red Blends,Pauillac, Bordeaux, France,209.97,93,93.38214,-0.38214,1,0,0,0,1,0
Chateau La Couspaude,1998,Bordeaux Red Blends,St. Emilion, Bordeaux, France,89.97,92,92.67487,-0.67487,1,0,0,0,1,0
Chateau La Conseillante Bordeaux Pomerol,1998,Bordeaux Red Blends,Pomerol, Bordeaux, France,81.99,90,92.62558,-2.62558,1,0,0,0,1,0
Chateau Le Bon Pasteur Pomerol,2000,Bordeaux Red Blends,Pomerol, Bordeaux, France,124.99,94,92.92496,1.07504,1,0,0,0,1,0
