id,name,vintage,price,JS,url,varietal,location,bordeauxBlends,syrah,pinot,italy,france,australia
157651,"Tenuta Sette Ponti Crognolo",2014,19.98,93,https://www.wine.com/product/tenuta-sette-ponti-crognolo-2014/157651,"Tuscan Blends","Tuscany, Italy",1,0,0,1,0,0
157652,"Yangarra Estate McLaren Vale Shiraz",2013,25.99,93,https://www.wine.com/product/yangarra-estate-mclaren-vale-shiraz-2013/157652,Syrah/Shiraz,"McLaren Vale, Australia",0,1,0,0,0,1
157679,"Chateau Puygueraud",2015,19.99,94,https://www.wine.com/product/chateau-puygueraud-2015/157679,"Bordeaux Red Blends","Cotes de Francs, Bordeaux, France",1,0,0,0,1,0
157680,"Chateau La Prade",2015,19.99,92,https://www.wine.com/product/chateau-la-prade-2015/157680,"Bordeaux Red Blends","Cotes de Francs, Bordeaux, France",1,0,0,0,1,0
157701,"Chateau Grand-Puy-Lacoste",2015,79.99,96,https://www.wine.com/product/chateau-grand-puy-lacoste-2015/157701,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
157702,"Chateau Canon",2015,329.97,100,https://www.wine.com/product/chateau-canon-2015/157702,"Bordeaux Red Blends","St. Emilion, Bordeaux, France",1,0,0,0,1,0
157705,"Chateau Palmer Alter Ego de Palmer",2015,74.99,96,https://www.wine.com/product/chateau-palmer-alter-ego-de-palmer-2015/157705,"Bordeaux Red Blends","Margaux, Bordeaux, France",1,0,0,0,1,0
157706,"Chateau Rauzan-Segla",2015,169.97,97,https://www.wine.com/product/chateau-rauzan-segla-2015/157706,"Bordeaux Red Blends","Margaux, Bordeaux, France",1,0,0,0,1,0
157707,"Chateau Gruaud Larose",2015,99.99,95,https://www.wine.com/product/chateau-gruaud-larose-2015/157707,"Bordeaux Red Blends","St. Julien, Bordeaux, France",1,0,0,0,1,0
157709,"Chateau Gazin",2015,89.99,97,https://www.wine.com/product/chateau-gazin-2015/157709,"Bordeaux Red Blends","Pomerol, Bordeaux, France",1,0,0,0,1,0
157710,"Chateau Pavie Macquin",2015,89.99,98,https://www.wine.com/product/chateau-pavie-macquin-2015/157710,"Bordeaux Red Blends","St. Emilion, Bordeaux, France",1,0,0,0,1,0
157711,"Chateau Canon La Gaffeliere",2015,119.99,96,https://www.wine.com/product/chateau-canon-la-gaffeliere-2015/157711,"Bordeaux Red Blends","St. Emilion, Bordeaux, France",1,0,0,0,1,0
157713,"Chateau Calon-Segur",2015,84.99,95,https://www.wine.com/product/chateau-calon-segur-2015/157713,"Bordeaux Red Blends","St. Estephe, Bordeaux, France",1,0,0,0,1,0
157714,"Chateau Lascombes",2015,94.99,95,https://www.wine.com/product/chateau-lascombes-2015/157714,"Bordeaux Red Blends","Margaux, Bordeaux, France",1,0,0,0,1,0
157716,"Chateau Paloumey",2015,19.99,91,https://www.wine.com/product/chateau-paloumey-2015/157716,"Bordeaux Red Blends","Haut Medoc, Bordeaux, France",1,0,0,0,1,0
157720,"Chateau Leoville Barton",2015,89.99,96,https://www.wine.com/product/chateau-leoville-barton-2015/157720,"Bordeaux Red Blends","St. Julien, Bordeaux, France",1,0,0,0,1,0
157723,"Chateau Maillet",2015,49.99,96,https://www.wine.com/product/chateau-maillet-2015/157723,"Bordeaux Red Blends","Pomerol, Bordeaux, France",1,0,0,0,1,0
157725,"Chateau Chasse Spleen",2015,39.99,94,https://www.wine.com/product/chateau-chasse-spleen-2015/157725,"Bordeaux Red Blends","Moulis, Bordeaux, France",1,0,0,0,1,0
157726,"Chateau Fombrauge",2015,34.99,94,https://www.wine.com/product/chateau-fombrauge-2015/157726,"Bordeaux Red Blends","St. Emilion, Bordeaux, France",1,0,0,0,1,0
157729,"Chateau Beychevelle",2015,89.99,94,https://www.wine.com/product/chateau-beychevelle-2015/157729,"Bordeaux Red Blends","St. Julien, Bordeaux, France",1,0,0,0,1,0
157733,"Chateau Haut-Bailly",2015,159.99,98,https://www.wine.com/product/chateau-haut-bailly-2015/157733,"Bordeaux Red Blends","Pessac-Leognan, Bordeaux, France",1,0,0,0,1,0
157736,"Chateau Les Ormes de Pez",2015,34.99,94,https://www.wine.com/product/chateau-les-ormes-de-pez-2015/157736,"Bordeaux Red Blends","St. Estephe, Bordeaux, France",1,0,0,0,1,0
157737,"Chateau Clinet",2015,149.99,99,https://www.wine.com/product/chateau-clinet-2015/157737,"Bordeaux Red Blends","Pomerol, Bordeaux, France",1,0,0,0,1,0
157738,"Chateau Olivier",2015,35.99,93,https://www.wine.com/product/chateau-olivier-2015/157738,"Bordeaux Red Blends","Pessac-Leognan, Bordeaux, France",1,0,0,0,1,0
157739,"Chateau Barde Haut",2015,41.99,95,https://www.wine.com/product/chateau-barde-haut-2015/157739,"Bordeaux Red Blends","St. Emilion, Bordeaux, France",1,0,0,0,1,0
157740,"Chateau Corbin",2015,42.99,93,https://www.wine.com/product/chateau-corbin-2015/157740,"Bordeaux Red Blends","St. Emilion, Bordeaux, France",1,0,0,0,1,0
157741,"Chateau Cantemerle",2015,39.99,95,https://www.wine.com/product/chateau-cantemerle-2015/157741,"Bordeaux Red Blends","Haut Medoc, Bordeaux, France",1,0,0,0,1,0
157750,"Chateau Marjosse",2015,13.99,91,https://www.wine.com/product/chateau-marjosse-2015/157750,"Bordeaux Red Blends","Bordeaux, France",1,0,0,0,1,0
157782,"Chateau Smith Haut Lafitte",2015,139.99,99,https://www.wine.com/product/chateau-smith-haut-lafitte-2015/157782,"Bordeaux Red Blends","Pessac-Leognan, Bordeaux, France",1,0,0,0,1,0
