id,name,vintage,price,RP,url,varietal,location,bordeauxBlends,syrah,pinot,italy,france,australia
12915,"Peter Lehmann Shiraz",1998,17.49,90,https://www.wine.com/product/peter-lehmann-shiraz-1998/12915,Syrah/Shiraz,"Barossa Valley, Barossa, Australia",0,1,0,0,0,1
12972,"Chateau Leoville Barton",1995,129,95,https://www.wine.com/product/chateau-leoville-barton-1995/12972,"Bordeaux Red Blends","St. Julien, Bordeaux, France",1,0,0,0,1,0
12973,"Chateau Margaux",1996,799,100,https://www.wine.com/product/chateau-margaux-1996/12973,"Bordeaux Red Blends","Margaux, Bordeaux, France",1,0,0,0,1,0
12974,"Chateau Margaux",1995,599.97,95,https://www.wine.com/product/chateau-margaux-1995/12974,"Bordeaux Red Blends","Margaux, Bordeaux, France",1,0,0,0,1,0
12975,"Chateau Montrose",1995,83.99,92,https://www.wine.com/product/chateau-montrose-1995/12975,"Bordeaux Red Blends","St. Estephe, Bordeaux, France",1,0,0,0,1,0
12976,"Chateau Sociando-Mallet (scuffed label)",1996,85.97,90,https://www.wine.com/product/chateau-sociando-mallet-scuffed-label-1996/12976,"Bordeaux Red Blends","Haut Medoc, Bordeaux, France",1,0,0,0,1,0
13369,"Antinori Tignanello",1997,259.97,93,https://www.wine.com/product/antinori-tignanello-1997/13369,"Tuscan Blends","Tuscany, Italy",1,0,0,1,0,0
13758,"Chateau Monbousquet",1997,59.99,92,https://www.wine.com/product/chateau-monbousquet-1997/13758,"Bordeaux Red Blends","St. Emilion, Bordeaux, France",1,0,0,0,1,0
13938,"Chateau Lafite Rothschild",1997,849.97,92,https://www.wine.com/product/chateau-lafite-rothschild-1997/13938,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
13948,"Les Forts de Latour",1996,64.99,90,https://www.wine.com/product/les-forts-de-latour-1996/13948,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
13950,"Chateau Haut-Batailley",1996,139.97,91,https://www.wine.com/product/chateau-haut-batailley-1996/13950,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
13968,"Chateau Pichon Longueville Comtesse de Lalande",1996,239,96,https://www.wine.com/product/chateau-pichon-longueville-comtesse-de-lalande-1996/13968,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
13969,"Chateau Pichon Longueville Comtesse de Lalande",1986,217.49,94,https://www.wine.com/product/chateau-pichon-longueville-comtesse-de-lalande-1986/13969,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
13976,"Chateau Clerc Milon",1997,46.99,89,https://www.wine.com/product/chateau-clerc-milon-1997/13976,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
14036,"Chateau Grand Mayne",1996,34.99,89,https://www.wine.com/product/chateau-grand-mayne-1996/14036,"Bordeaux Red Blends","St. Emilion, Bordeaux, France",1,0,0,0,1,0
14041,"Chateau Cos d'Estournel",1995,269.97,95,https://www.wine.com/product/chateau-cos-destournel-1995/14041,"Bordeaux Red Blends","St. Estephe, Bordeaux, France",1,0,0,0,1,0
14049,"Chateau Pichon Longueville Comtesse de Lalande",1995,175,96,https://www.wine.com/product/chateau-pichon-longueville-comtesse-de-lalande-1995/14049,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
14092,"Chateau Angelus",1996,379.97,91,https://www.wine.com/product/chateau-angelus-1996/14092,"Bordeaux Red Blends","St. Emilion, Bordeaux, France",1,0,0,0,1,0
